Epi_Control_rep1	Epi_Control_rep2	Epi_Control_rep3	Mes_Control_rep1	Mes_Control_rep2	Mes_Control_rep3	Epi_TNF_1hr_rep1	Epi_TNF_1hr_rep2	Epi_TNF_1hr_rep3	Mes_TNF_1hr_rep1	Mes_TNF_1hr_rep2	Mes_TNF_1hr_rep3	Epi_TNF_12hr_rep1	Epi_TNF_12hr_rep2	Epi_TNF_12hr_rep3	Mes_TNF_12hr_rep1	Mes_TNF_12hr_rep2	Mes_TNF_12hr_rep3
THAP4	4.81545878676176	4.68926261858822	4.89303259139036	4.70748591075968	4.65919880268499	4.86127942505979	4.59060729852369	4.58917582229675	4.9304661744685	4.71114834135418	4.7199716358773	4.87638870143334	4.92269562040344	4.94802295920436	4.88830652852693	4.88748744417851	5.02414625985076	4.75513684421974
ZNF490	3.02286194942946	3.04400519505779	3.4008891257362	3.24466291548348	3.17236651056886	3.33602136945757	2.77305263484314	2.79827609082053	3.08393387054954	3.1074529681972	3.12554952037515	2.90239887682553	3.32081244422559	3.40617428935851	3.34494297822079	3.39015917319886	3.40353824861816	3.21163400038755
CLU	5.19012895797833	5.11334854353877	5.30288086748695	4.02160972311134	3.959152394608	4.11990010345219	4.91340657222017	4.96089313369257	5.31228394060449	4.05460543050778	3.99261041462534	3.82752847783783	4.95137880866031	4.95456912992894	4.92054258944889	4.12471221608736	4.30088735111278	3.93039514530093
GGCX	4.54058804147927	4.45087240818921	4.76800505066952	4.56001220094847	4.53807012565438	4.7061059948724	4.28541388610577	4.28945017879754	4.68063734208315	4.59742544974141	4.56091976222993	4.56961420762285	4.64570356938308	4.6612065047796	4.63738718438135	4.77936718288734	4.80292954410421	4.60582746735624
REXO2	4.61900153648357	4.5874529681972	4.93752847783783	4.95254113283242	4.94552891816675	5.05136146224637	4.39243924490241	4.41950854040926	4.87705782990093	4.93767772910823	4.88485789617564	5.05003315733826	4.79382445426733	4.8141437834024	4.68711933019187	5.03606887389952	5.07124800230983	4.83715187705567
LIG3	4.04753516601713	3.98643928040109	4.26265164372649	4.23666044099492	4.22883500209236	4.36041461899459	3.77748744417851	3.82513476456589	4.2226049379339	4.2736365884262	4.22770765813558	4.43081244422559	4.14353824861816	4.1649059363944	4.06081244422559	4.37388518494832	4.39036301838318	4.19991150485422
BAIAP2-AS1	3.75744264232263	3.67674376903729	3.98909279289992	3.88197534453778	3.8068313543481	4.05147464637095	3.49554952037515	3.59287225053366	3.9440081969077	3.92445300046938	3.88840671348223	3.63559882097903	3.82872132116131	3.81054258944889	3.76955961778832	4.11294952132878	4.19031489285628	3.9828806194533
SRD5A3-AS1	0.57	1.15643612526683	1.60872132116131	1.31	1.68	1.60872132116131	1.31	1.52643612526683	1.79911339510832	1.60872132116131	1.15643612526683	1.31	1.74287225053366	1.52643612526683	1.68	1.60872132116131	1.68	1.52643612526683
ADAMTS7	3.38744264232263	3.22656636330553	3.40617428935851	5.08160438338545	5.00882581536764	5.25855200894751	3.07910309400412	3.06434278496842	3.44667121205243	5.01247038466433	5.0462718706954	4.51221533055535	3.46346621609362	3.4610990407503	3.48657792826388	5.28364077938962	5.43657987317055	5.24244054168267
MIAT	2.61371792374109	2.40305263484314	2.69930837580048	2.70910309400412	2.79	2.81445300046938	2.28822679021665	2.45236125126263	2.72816930524095	2.82236125126263	2.51173317997413	2.79827609082053	2.6791626957122	2.64744264232263	2.62519787512073	2.86749774528271	2.87466291548348	2.61371792374109
COG1	4.26423482975642	4.18910309400412	4.46769206650821	4.43656669145096	4.43694811137796	4.62439619750849	4.00559882097903	4.05460543050778	4.39077891023525	4.4399896988958	4.44112584086099	4.3018704032601	4.38324282508849	4.3836642993821	4.30918614817133	4.62197534453778	4.69163400038755	4.47873531129472
CD47	4.76430096912485	4.74259633804823	5.09743589400584	4.70794509114509	4.69305178917623	4.79186700005648	4.55330918043091	4.68015404900792	5.04991223828346	4.73019454182589	4.64311859016611	4.46661114039104	5.30393387054954	5.31361381658264	5.25271180912017	5.01143161583225	4.97052156641841	4.77025606754431
PLEKHB2	5.1305710048129	5.07194471395774	5.38634786296175	5.09377251133185	5.05148205349621	5.21065337635556	4.90012420392497	5.00132872566367	5.41669786172934	5.14331041784868	5.10414211485889	5.36540165488832	5.29522202260229	5.31486677564009	5.2323115823233	5.27220154920402	5.32254113283242	5.09820975355028
